epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.84028,1.78806,2.94698,1.74942,0.00333,1,0.7962,0.65469,0.49135,2.55617,0.7534,0.00014,0.00014,0.00014
2,3.05459,0.46118,1.66055,0.98867,0.00333,1,0.91059,0.65154,0.21007,2.204,0.50033,0.00029406,0.00029406,0.00029406
3,4.15269,0.34789,0.9417,0.93172,0.00333,1,0.92554,0.32782,1.16637,2.70766,1.01193,0.000441784,0.000441784,0.000441784
4,5.25416,0.374,0.79123,0.91264,0.96267,1,0.995,0.91011,0.40349,1.27856,0.65935,0.000583172,0.000583172,0.000583172
5,6.38174,0.33087,0.7402,0.89754,0.99627,1,0.995,0.98393,0.25836,1.12285,0.52554,0.000718224,0.000718224,0.000718224
6,7.51257,0.31625,0.64542,0.8863,0.99511,1,0.995,0.98293,0.27305,0.81802,0.5761,0.00084694,0.00084694,0.00084694
7,8.58733,0.30897,0.64202,0.89531,0.9964,1,0.995,0.98343,0.24926,0.75482,0.56536,0.00096932,0.00096932,0.00096932
8,9.68124,0.33531,0.65156,0.89965,0.9966,1,0.995,0.98443,0.26837,0.8548,0.53672,0.00108536,0.00108536,0.00108536
9,10.8055,0.34122,0.61754,0.91511,0.99607,1,0.995,0.995,0.22478,0.63978,0.49601,0.00119507,0.00119507,0.00119507
10,11.9104,0.31473,0.609,0.90306,0.97927,1,0.995,0.971,0.16994,0.83623,0.47181,0.00129844,0.00129844,0.00129844
11,13.0022,0.31728,0.55915,0.88707,0.99341,1,0.995,0.995,0.28254,0.63342,0.56071,0.00139548,0.00139548,0.00139548
12,14.1065,0.31025,0.55955,0.89461,0.99082,1,0.995,0.97017,0.33754,0.78988,0.64282,0.00148618,0.00148618,0.00148618
13,15.1734,0.3231,0.56314,0.86817,0.94211,1,0.995,0.96433,0.42265,1.03943,0.71416,0.0015248,0.0015248,0.0015248
14,16.2671,0.32183,0.54918,0.87736,0.81164,1,0.995,0.90692,0.48272,1.91495,0.70782,0.0014852,0.0014852,0.0014852
15,17.3347,0.27559,0.48296,0.8779,0.88806,1,0.99033,0.98053,0.4392,1.034,0.67743,0.0014456,0.0014456,0.0014456
16,18.4024,0.28793,0.47547,0.87436,0.99406,1,0.995,0.995,0.31847,0.5118,0.56852,0.001406,0.001406,0.001406
17,19.5132,0.2675,0.45813,0.88407,0.95547,1,0.995,0.995,0.24374,0.42823,0.5019,0.0013664,0.0013664,0.0013664
18,20.6226,0.27099,0.46471,0.88629,0.99383,1,0.995,0.988,0.26362,0.553,0.54208,0.0013268,0.0013268,0.0013268
19,21.6902,0.27017,0.44504,0.87525,0.99544,1,0.995,0.995,0.23596,0.46585,0.52197,0.0012872,0.0012872,0.0012872
20,22.8037,0.26897,0.42264,0.88099,0.99385,1,0.995,0.995,0.241,0.45399,0.55897,0.0012476,0.0012476,0.0012476
21,23.9039,0.23251,0.40397,0.86873,0.99595,1,0.995,0.995,0.26244,0.47745,0.57211,0.001208,0.001208,0.001208
22,25.0045,0.26091,0.4193,0.88795,0.99625,1,0.995,0.995,0.26858,0.45359,0.56174,0.0011684,0.0011684,0.0011684
23,26.0943,0.24068,0.41532,0.86249,0.99641,1,0.995,0.995,0.22396,0.3354,0.50165,0.0011288,0.0011288,0.0011288
24,27.2245,0.23845,0.37628,0.85402,0.99646,1,0.995,0.995,0.19396,0.37129,0.49756,0.0010892,0.0010892,0.0010892
25,28.3288,0.23873,0.38132,0.86225,0.99645,1,0.995,0.995,0.19894,0.37052,0.50272,0.0010496,0.0010496,0.0010496
26,29.4282,0.21306,0.36785,0.86895,0.99648,1,0.995,0.995,0.21314,0.32132,0.50255,0.00101,0.00101,0.00101
27,30.5233,0.19889,0.34263,0.85983,0.99652,1,0.995,0.995,0.21545,0.30112,0.48428,0.0009704,0.0009704,0.0009704
28,31.6236,0.2063,0.32926,0.87087,0.99656,1,0.995,0.995,0.12513,0.27557,0.4657,0.0009308,0.0009308,0.0009308
29,32.7245,0.21222,0.33875,0.87253,0.99657,1,0.995,0.995,0.13608,0.26673,0.46757,0.0008912,0.0008912,0.0008912
30,33.8198,0.18684,0.32575,0.86458,0.99656,1,0.995,0.995,0.18755,0.29582,0.4863,0.0008516,0.0008516,0.0008516
31,34.9537,0.18855,0.31335,0.86092,0.99654,1,0.995,0.995,0.20642,0.31504,0.49759,0.000812,0.000812,0.000812
32,36.0499,0.20132,0.31726,0.86539,0.99653,1,0.995,0.995,0.24097,0.33282,0.51231,0.0007724,0.0007724,0.0007724
33,37.1435,0.19434,0.31254,0.86132,0.99658,1,0.995,0.995,0.18318,0.2799,0.50112,0.0007328,0.0007328,0.0007328
34,38.2375,0.19409,0.30798,0.87261,0.99659,1,0.995,0.995,0.19001,0.29723,0.51305,0.0006932,0.0006932,0.0006932
35,39.3319,0.18496,0.28468,0.85028,0.99603,1,0.995,0.995,0.24713,0.29025,0.52697,0.0006536,0.0006536,0.0006536
36,40.4345,0.1986,0.28975,0.84803,0.99506,1,0.995,0.995,0.21446,0.28497,0.52994,0.000614,0.000614,0.000614
37,41.5293,0.20593,0.27993,0.86427,0.99608,1,0.995,0.995,0.17545,0.25482,0.52473,0.0005744,0.0005744,0.0005744
38,42.6278,0.17934,0.27138,0.83602,0.99651,1,0.995,0.995,0.16076,0.24999,0.5042,0.0005348,0.0005348,0.0005348
39,43.729,0.15785,0.26414,0.85747,0.99656,1,0.995,0.995,0.14576,0.23824,0.48496,0.0004952,0.0004952,0.0004952
40,44.8267,0.16163,0.27157,0.85681,0.99653,1,0.995,0.995,0.17857,0.25282,0.48583,0.0004556,0.0004556,0.0004556
41,62.442,0.16568,0.67537,0.86015,0.99659,1,0.995,0.995,0.22239,0.32214,0.49585,0.000416,0.000416,0.000416
42,63.5231,0.13659,0.44955,0.84419,0.99657,1,0.995,0.995,0.19433,0.31689,0.50215,0.0003764,0.0003764,0.0003764
43,64.6069,0.13185,0.39885,0.83315,0.99654,1,0.995,0.995,0.16385,0.31309,0.4805,0.0003368,0.0003368,0.0003368
44,65.7223,0.11406,0.40567,0.85747,0.99642,1,0.995,0.995,0.17938,0.36022,0.48605,0.0002972,0.0002972,0.0002972
45,66.7987,0.12031,0.36978,0.84687,0.99647,1,0.995,0.995,0.20664,0.39453,0.52227,0.0002576,0.0002576,0.0002576
46,67.8829,0.11816,0.33918,0.87342,0.99654,1,0.995,0.995,0.18781,0.44964,0.522,0.000218,0.000218,0.000218
47,68.9585,0.11921,0.3451,0.84361,0.99658,1,0.995,0.995,0.18791,0.41249,0.52223,0.0001784,0.0001784,0.0001784
48,70.0376,0.10586,0.32929,0.8505,0.99659,1,0.995,0.995,0.18596,0.35384,0.51316,0.0001388,0.0001388,0.0001388
49,71.1072,0.12001,0.34326,0.82995,0.99659,1,0.995,0.995,0.17927,0.32182,0.5006,9.92e-05,9.92e-05,9.92e-05
50,72.1802,0.10066,0.31463,0.85431,0.99655,1,0.995,0.995,0.18055,0.31153,0.49275,5.96e-05,5.96e-05,5.96e-05
